,cwgp_combination,result
0,"(('sa', 1), ('sa', 2), ('sa', 3))","(0.003456804865144563, 0.0043992819042561766)"
1,"(('sa', 1), ('sa', 2), ('sal', 1))","(0.004797489279460677, 0.0054740480048076235)"
2,"(('sa', 1), ('sa', 2), ('sal', 2))","(0.003042532711710209, 0.004133026111987537)"
3,"(('sa', 1), ('sa', 2), ('sal', 3))","(0.003116880829703485, 0.004179165769825983)"
4,"(('sa', 1), ('sa', 2), ('box_cox', 1))","(0.003639644860321573, 0.004570002666730389)"
5,"(('sa', 1), ('sa', 2), ('box_cox', 2))","(0.016288820441780864, 0.020449456468819977)"
6,"(('sa', 1), ('sa', 2), ('box_cox', 3))","(0.0033371695899665726, 0.004202799710102553)"
7,"(('sa', 1), ('sa', 3), ('sa', 2))","(0.0034567720521998207, 0.004399254660431242)"
8,"(('sa', 1), ('sa', 3), ('sal', 1))","(0.004797376205222755, 0.005473953657479157)"
9,"(('sa', 1), ('sa', 3), ('sal', 2))","(0.003864836596965559, 0.004809352787356701)"
10,"(('sa', 1), ('sa', 3), ('sal', 3))","(0.017653467348305498, 0.019670963721450795)"
11,"(('sa', 1), ('sa', 3), ('box_cox', 1))","(0.0036397466764743086, 0.004570071611631842)"
12,"(('sa', 1), ('sa', 3), ('box_cox', 2))","(0.002854464441971829, 0.0038654298618074293)"
13,"(('sa', 1), ('sa', 3), ('box_cox', 3))","(0.003337152473914029, 0.004202779079199276)"
14,"(('sa', 1), ('sal', 1), ('sa', 2))","(0.00476997914078641, 0.0054519875202419825)"
15,"(('sa', 1), ('sal', 1), ('sa', 3))","(0.004770080612260146, 0.0054520692859673595)"
16,"(('sa', 1), ('sal', 1), ('sal', 2))","(0.005479647603531598, 0.006696984926959437)"
17,"(('sa', 1), ('sal', 1), ('sal', 3))","(0.0037249786326714013, 0.004664048337245366)"
18,"(('sa', 1), ('sal', 1), ('box_cox', 1))","(0.004567162254198874, 0.005277396915508794)"
19,"(('sa', 1), ('sal', 1), ('box_cox', 2))","(0.0044902764867532285, 0.005221146499744877)"
20,"(('sa', 1), ('sal', 1), ('box_cox', 3))","(0.0041602155890766036, 0.004937649962819562)"
21,"(('sa', 1), ('sal', 2), ('sa', 2))","(0.0034568648436547255, 0.004399338965645592)"
22,"(('sa', 1), ('sal', 2), ('sa', 3))","(0.0034544362903696146, 0.00439724711593346)"
23,"(('sa', 1), ('sal', 2), ('sal', 1))","(0.0068083628304208875, 0.00845378552946591)"
24,"(('sa', 1), ('sal', 2), ('sal', 3))","(0.0033382414673437744, 0.003612371940790275)"
25,"(('sa', 1), ('sal', 2), ('box_cox', 1))","(0.0032269000113360597, 0.004260178015301646)"
26,"(('sa', 1), ('sal', 2), ('box_cox', 2))","(0.003614389074338626, 0.004617319228160208)"
27,"(('sa', 1), ('sal', 2), ('box_cox', 3))","(0.1933921446636556, 0.2225905705008678)"
28,"(('sa', 1), ('sal', 3), ('sa', 2))","(0.0030611488660492936, 0.003798247630303407)"
29,"(('sa', 1), ('sal', 3), ('sa', 3))","(0.003123031293336885, 0.003798107551527254)"
30,"(('sa', 1), ('sal', 3), ('sal', 1))","(0.0030774618789126645, 0.0037744731336813568)"
31,"(('sa', 1), ('sal', 3), ('sal', 2))","(0.0031009355508013004, 0.003970433298726286)"
32,"(('sa', 1), ('sal', 3), ('box_cox', 1))","(0.0024835044267499185, 0.0032161981964619365)"
33,"(('sa', 1), ('sal', 3), ('box_cox', 2))","(0.002659715082003102, 0.003550775319766461)"
34,"(('sa', 1), ('sal', 3), ('box_cox', 3))","(0.006572324562305205, 0.008086422936205626)"
35,"(('sa', 1), ('box_cox', 1), ('sa', 2))","(0.0032254889150219656, 0.00415279844786771)"
36,"(('sa', 1), ('box_cox', 1), ('sa', 3))","(0.003225561310485494, 0.0041528664802709635)"
37,"(('sa', 1), ('box_cox', 1), ('sal', 1))","(0.004091654100879761, 0.004957133100450327)"
38,"(('sa', 1), ('box_cox', 1), ('sal', 2))","(0.0030802105704233473, 0.0037052749007018366)"
39,"(('sa', 1), ('box_cox', 1), ('sal', 3))","(0.003034159148858006, 0.004116302510452282)"
40,"(('sa', 1), ('box_cox', 1), ('box_cox', 2))","(0.0037238400079668476, 0.004572911299047294)"
41,"(('sa', 1), ('box_cox', 1), ('box_cox', 3))","(0.003921921225031112, 0.0047000472285994915)"
42,"(('sa', 1), ('box_cox', 2), ('sa', 2))","(0.002796973842507433, 0.0037461071371528544)"
43,"(('sa', 1), ('box_cox', 2), ('sa', 3))","(0.002796953358545577, 0.0037460872286221515)"
44,"(('sa', 1), ('box_cox', 2), ('sal', 1))","(0.0036020314313161073, 0.004567266340541973)"
45,"(('sa', 1), ('box_cox', 2), ('sal', 2))","(0.0031177395303423894, 0.0037589936794539466)"
46,"(('sa', 1), ('box_cox', 2), ('sal', 3))","(0.003077861639785125, 0.0037489200023426467)"
47,"(('sa', 1), ('box_cox', 2), ('box_cox', 1))","(0.0034367662348783307, 0.0043098989082552075)"
48,"(('sa', 1), ('box_cox', 2), ('box_cox', 3))","(0.0038858840875130385, 0.004644438686651672)"
49,"(('sa', 1), ('box_cox', 3), ('sa', 2))","(0.0025634021821130154, 0.0035010329076561888)"
50,"(('sa', 1), ('box_cox', 3), ('sa', 3))","(0.0025633984900595547, 0.0035010066665942196)"
51,"(('sa', 1), ('box_cox', 3), ('sal', 1))","(0.003513358609199637, 0.004489347029269825)"
52,"(('sa', 1), ('box_cox', 3), ('sal', 2))","(0.0031293243173521335, 0.0037221816088151187)"
53,"(('sa', 1), ('box_cox', 3), ('sal', 3))","(0.002999614263527533, 0.003987271161834433)"
