,cwgp_combination,result
0,"(('sa', 1), ('sa', 1))","(0.004410563242102122, 0.0035419721603403643)"
1,"(('sa', 1), ('sa', 2))","(0.004410567136087041, 0.0035419773865240567)"
2,"(('sa', 1), ('sa', 3))","(0.004410565883044225, 0.0035419763520167908)"
3,"(('sa', 1), ('sal', 1))","(0.005090698194945247, 0.004322964213434917)"
4,"(('sa', 1), ('sal', 2))","(0.004215841975533538, 0.0032750309235805852)"
5,"(('sa', 1), ('sal', 3))","(0.004272172613351961, 0.0033985695431445195)"
6,"(('sa', 1), ('box_cox', 1))","(0.004419843544779615, 0.0035336887455989347)"
7,"(('sa', 1), ('box_cox', 2))","(0.0038682570272135946, 0.002960898888399669)"
8,"(('sa', 1), ('box_cox', 3))","(0.0037518761196491997, 0.0028592329615579853)"
9,"(('sa', 2), ('sa', 1))","(0.004410548948577382, 0.003541953580337459)"
10,"(('sa', 2), ('sa', 2))","(0.004410579840131488, 0.0035419956943712194)"
11,"(('sa', 2), ('sa', 3))","(0.004410575594472428, 0.0035419895495977594)"
12,"(('sa', 2), ('sal', 1))","(0.005090592941250731, 0.004322800601050515)"
13,"(('sa', 2), ('sal', 2))","(0.004214879213825818, 0.0032738183665973397)"
14,"(('sa', 2), ('sal', 3))","(0.004479289091137865, 0.0033089351665182842)"
15,"(('sa', 2), ('box_cox', 1))","(0.004419912123431241, 0.003533759679100083)"
16,"(('sa', 2), ('box_cox', 2))","(0.0038683536024954547, 0.002961024160246184)"
17,"(('sa', 2), ('box_cox', 3))","(0.0037518828722339615, 0.002859254157063899)"
18,"(('sa', 3), ('sa', 1))","(0.004410547140442881, 0.003541951012382392)"
19,"(('sa', 3), ('sa', 2))","(0.004410570228245236, 0.003541982186857247)"
20,"(('sa', 3), ('sa', 3))","(0.004410414793599615, 0.0035417642754215694)"
21,"(('sa', 3), ('sal', 1))","(0.005090549350652846, 0.004322722913422676)"
22,"(('sa', 3), ('sal', 2))","(0.004463079308501332, 0.00330946486958467)"
23,"(('sa', 3), ('sal', 3))","(0.004323293373373588, 0.003451224818278396)"
24,"(('sa', 3), ('box_cox', 1))","(0.005609840220718754, 0.005023854502248594)"
25,"(('sa', 3), ('box_cox', 2))","(0.003868315194361796, 0.002960973692442407)"
26,"(('sa', 3), ('box_cox', 3))","(0.003751877185076152, 0.0028592475880597134)"
27,"(('sal', 1), ('sa', 1))","(0.0037780836604399152, 0.003245717011901172)"
28,"(('sal', 1), ('sa', 2))","(0.005039848825997629, 0.004256015557896948)"
29,"(('sal', 1), ('sa', 3))","(0.0037784644617464653, 0.0032472171034751496)"
30,"(('sal', 1), ('sal', 1))","(0.00491374339976059, 0.0041651486480448)"
31,"(('sal', 1), ('sal', 2))","(0.031217976921359237, 0.029260255058999488)"
32,"(('sal', 1), ('sal', 3))","(0.005028850523772823, 0.0036729290980418877)"
33,"(('sal', 1), ('box_cox', 1))","(0.004774216215439424, 0.0038626234144773985)"
34,"(('sal', 1), ('box_cox', 2))","(0.004638912767031935, 0.0037978092303346455)"
35,"(('sal', 1), ('box_cox', 3))","(0.012569785292835015, 0.011309805954451453)"
36,"(('sal', 2), ('sa', 1))","(0.0049273788876866755, 0.004258756191356068)"
37,"(('sal', 2), ('sa', 2))","(0.0037047164040403023, 0.0033566834940067553)"
38,"(('sal', 2), ('sa', 3))","(0.0037027993402839964, 0.003339864577846705)"
39,"(('sal', 2), ('sal', 1))","(0.003688246731423683, 0.0033426894584080275)"
40,"(('sal', 2), ('sal', 2))","(0.0036502004163307586, 0.0031347205416983443)"
41,"(('sal', 2), ('sal', 3))","(0.003879876274765264, 0.003625007316844588)"
42,"(('sal', 2), ('box_cox', 1))","(0.0036309331654372215, 0.0031498415395339436)"
43,"(('sal', 2), ('box_cox', 2))","(0.003791079484653836, 0.0034213625299677635)"
44,"(('sal', 2), ('box_cox', 3))","(0.0037342389353786105, 0.0034762608824393288)"
45,"(('sal', 3), ('sa', 1))","(0.0037919357911758954, 0.0034498595222375067)"
46,"(('sal', 3), ('sa', 2))","(0.004299477978924165, 0.003910660431418257)"
47,"(('sal', 3), ('sa', 3))","(0.003690231089111645, 0.00340335751048764)"
