year,age,female,male,total
1947,0,0.087401,0.099181,0.093432
1947,1,0.033723,0.034697,0.03422
1947,2,0.016994,0.016804,0.016897
1947,3,0.011412,0.011461,0.011437
1947,4,0.006918,0.007337,0.00713
1947,5,0.004938,0.005208,0.005075
1947,6,0.00363,0.003865,0.003749
1947,7,0.002888,0.00333,0.003112
1947,8,0.002203,0.002468,0.002337
1947,9,0.002042,0.002241,0.002143
1947,10,0.001784,0.001952,0.001869
1947,11,0.001731,0.001763,0.001747
1947,12,0.001814,0.001698,0.001755
1947,13,0.00191,0.001827,0.001868
1947,14,0.002369,0.002044,0.002205
1947,15,0.003169,0.002691,0.002928
1947,16,0.003698,0.003277,0.003486
1947,17,0.004488,0.004264,0.004376
1947,18,0.005284,0.005501,0.005392
1947,19,0.006271,0.006829,0.006548
1947,20,0.007072,0.007701,0.007384
1947,21,0.007391,0.008356,0.007863
1947,22,0.007441,0.008743,0.008065
1947,23,0.007827,0.009043,0.00839
1947,24,0.007898,0.009048,0.008409
1947,25,0.007736,0.009025,0.008298
1947,26,0.007315,0.008681,0.007911
1947,27,0.007395,0.008698,0.007974
1947,28,0.007228,0.008155,0.007647
1947,29,0.007325,0.008408,0.007818
1947,30,0.007185,0.007994,0.007556
1947,31,0.007097,0.007979,0.007506
1947,32,0.006979,0.008233,0.007565
1947,33,0.007068,0.008272,0.007635
1947,34,0.006885,0.008073,0.007444
1947,35,0.006907,0.008262,0.007546
1947,36,0.007143,0.00838,0.007734
1947,37,0.007251,0.008774,0.007984
1947,38,0.007155,0.008715,0.007912
1947,39,0.007439,0.00877,0.008089
1947,40,0.007755,0.009515,0.008637
1947,41,0.007913,0.009385,0.008656
1947,42,0.008134,0.009665,0.008898
1947,43,0.007975,0.010245,0.009122
1947,44,0.007936,0.010681,0.009323
1947,45,0.008235,0.011021,0.00965
1947,46,0.008765,0.011829,0.010319
1947,47,0.00941,0.01277,0.01112
1947,48,0.009556,0.013112,0.011375
1947,49,0.010541,0.014363,0.012488
1947,50,0.011212,0.014627,0.012952
1947,51,0.011729,0.016468,0.014138
1947,52,0.0124,0.017594,0.01504
1947,53,0.013266,0.01921,0.016292
1947,54,0.013601,0.02016,0.016918
1947,55,0.014184,0.021287,0.017754
1947,56,0.015459,0.022919,0.01918
1947,57,0.016378,0.025856,0.021053
1947,58,0.018686,0.029013,0.023784
1947,59,0.019993,0.030453,0.02513
1947,60,0.023079,0.035617,0.029132
1947,61,0.023245,0.035565,0.029117
1947,62,0.026842,0.040897,0.033455
1947,63,0.029237,0.044474,0.036291
1947,64,0.031096,0.048073,0.03885
1947,65,0.034044,0.053275,0.042806
1947,66,0.037738,0.057052,0.046489
1947,67,0.039692,0.061709,0.049531
1947,68,0.045038,0.06782,0.055097
1947,69,0.048068,0.071342,0.058177
1947,70,0.054278,0.079886,0.065237
1947,71,0.061059,0.08428,0.070924
1947,72,0.064345,0.092937,0.076303
1947,73,0.071422,0.09946,0.082947
1947,74,0.077423,0.105467,0.088776
1947,75,0.088507,0.12056,0.101358
1947,76,0.093419,0.122447,0.10488
1947,77,0.100608,0.132552,0.112795
1947,78,0.109433,0.150522,0.124711
1947,79,0.127998,0.166011,0.141928
1947,80,0.143591,0.176566,0.155459
1947,81,0.15459,0.19731,0.169523
1947,82,0.171082,0.212534,0.185184
1947,83,0.199838,0.233765,0.211289
1947,84,0.192437,0.229506,0.204582
1947,85,0.214101,0.267004,0.230883
1947,86,0.236076,0.292058,0.25373
1947,87,0.252448,0.313029,0.270983
1947,88,0.275724,0.320943,0.289507
1947,89,0.310434,0.342484,0.320118
1947,90,0.340292,0.353786,0.344209
1947,91,0.345278,0.422678,0.36682
1947,92,0.386105,0.431805,0.398244
1947,93,0.415893,0.454621,0.42641
1947,94,0.410732,0.479488,0.430136
1947,95,0.463656,0.573657,0.494923
1947,96,0.473657,0.49941,0.480914
1947,97,0.512099,0.500236,0.508685
1947,98,0.682498,0.664403,0.676427
1947,99,0.463789,1.020938,0.672245
1947,100,0.444346,1.356118,0.731351
1948,0,0.059669,0.069473,0.064679
1948,1,0.019468,0.020179,0.019831
1948,2,0.009752,0.009773,0.009762
1948,3,0.006828,0.007104,0.006968
1948,4,0.004928,0.005125,0.005028
1948,5,0.003192,0.003529,0.003363
1948,6,0.002547,0.002912,0.002732
1948,7,0.002087,0.002457,0.002274
1948,8,0.001797,0.002082,0.001941
1948,9,0.001519,0.001743,0.001632
1948,10,0.001475,0.001716,0.001597
1948,11,0.001398,0.001408,0.001403
1948,12,0.001472,0.001456,0.001464
1948,13,0.001673,0.001435,0.001553
1948,14,0.001887,0.001681,0.001783
1948,15,0.002449,0.002031,0.002238
1948,16,0.002968,0.002636,0.002801
1948,17,0.00367,0.003443,0.003556
1948,18,0.004159,0.004291,0.004225
1948,19,0.005075,0.00541,0.005241
1948,20,0.005897,0.006356,0.006125
1948,21,0.006712,0.00701,0.00686
1948,22,0.006951,0.007393,0.007167
1948,23,0.007101,0.007964,0.007515
1948,24,0.007147,0.008101,0.007589
1948,25,0.007019,0.00808,0.00749
1948,26,0.006863,0.00773,0.007241
1948,27,0.006698,0.00781,0.007183
1948,28,0.006715,0.007581,0.0071
1948,29,0.006362,0.007506,0.006879
1948,30,0.006321,0.007138,0.006693
1948,31,0.006105,0.00717,0.006593
1948,32,0.006258,0.007144,0.006668
1948,33,0.006076,0.007177,0.00659
1948,34,0.006159,0.007109,0.006605
1948,35,0.005943,0.006958,0.00642
