,age,year,D,L,D/L
1,50,2000,371,95251,0.003894972
2,51,2000,403,94880,0.00424747
3,52,2000,455,94478,0.004815936
4,53,2000,520,94023,0.005530562
5,54,2000,497,93503,0.005315337
6,55,2000,588,93006,0.006322173
7,56,2000,647,92417,0.007000876
8,57,2000,646,91770,0.007039337
9,58,2000,742,91124,0.008142751
10,59,2000,765,90382,0.008464075
11,60,2000,842,89617,0.009395539
12,61,2000,869,88776,0.009788682
13,62,2000,981,87907,0.011159521
14,63,2000,1056,86926,0.012148264
15,64,2000,1184,85870,0.013788285
16,65,2000,1252,84686,0.014784026
17,66,2000,1387,83435,0.016623719
18,67,2000,1483,82047,0.018075006
19,68,2000,1574,80565,0.01953702
20,69,2000,1754,78990,0.022205342
21,70,2000,1832,77236,0.023719509
22,71,2000,1974,75403,0.02617933
23,72,2000,2072,73430,0.02821735
24,73,2000,2238,71358,0.031362987
25,74,2000,2395,69120,0.034649884
26,75,2000,2516,66726,0.037706441
27,76,2000,2685,64210,0.041815917
28,77,2000,2836,61526,0.046094334
29,78,2000,3016,58690,0.051388652
30,79,2000,3140,55674,0.056399756
31,80,2000,3505,52534,0.066718696
32,50,2001,379,95363,0.003974288
33,51,2001,391,94984,0.004116483
34,52,2001,437,94593,0.004619792
35,53,2001,479,94156,0.005087302
36,54,2001,558,93676,0.005956702
37,55,2001,533,93118,0.00572392
38,56,2001,619,92585,0.006685748
39,57,2001,683,91966,0.007426658
40,58,2001,685,91283,0.007504135
41,59,2001,782,90599,0.008631442
42,60,2001,810,89817,0.009018337
43,61,2001,868,89007,0.009752042
44,62,2001,927,88139,0.010517478
45,63,2001,1016,87212,0.011649773
46,64,2001,1084,86196,0.01257599
47,65,2001,1195,85112,0.014040323
48,66,2001,1302,83917,0.015515331
49,67,2001,1441,82614,0.017442564
50,68,2001,1561,81173,0.019230532
51,69,2001,1679,79612,0.021089785
52,70,2001,1851,77932,0.023751476
53,71,2001,1922,76081,0.025262549
54,72,2001,2093,74158,0.028223523
55,73,2001,2171,72065,0.030125581
56,74,2001,2369,69895,0.033893698
57,75,2001,2522,67526,0.037348577
58,76,2001,2667,65004,0.041028244
59,77,2001,2804,62337,0.044981311
60,78,2001,2924,59533,0.049115617
61,79,2001,3129,56609,0.055273896
62,80,2001,3262,53480,0.060994764
63,50,2002,365,95472,0.00382311
64,51,2002,391,95107,0.004111159
65,52,2002,430,94716,0.004539888
66,53,2002,482,94286,0.005112106
67,54,2002,517,93803,0.005511551
68,55,2002,599,93287,0.006421045
69,56,2002,557,92688,0.006009408
70,57,2002,645,92131,0.007000901
71,58,2002,748,91486,0.008176114
72,59,2002,722,90738,0.007956975
73,60,2002,799,90016,0.0088762
74,61,2002,852,89217,0.009549749
75,62,2002,902,88365,0.010207661
76,63,2002,960,87463,0.01097607
77,64,2002,1079,86502,0.0124737
78,65,2002,1139,85424,0.013333489
79,66,2002,1273,84284,0.015103697
80,67,2002,1356,83011,0.016335184
81,68,2002,1509,81655,0.018480191
82,69,2002,1638,80145,0.020437956
83,70,2002,1759,78508,0.02240536
84,71,2002,1914,76749,0.024938436
85,72,2002,2011,74835,0.026872453
86,73,2002,2205,72824,0.03027848
87,74,2002,2352,70619,0.033305484
88,75,2002,2484,68266,0.036387074
89,76,2002,2605,65782,0.039600499
90,77,2002,2809,63177,0.044462383
91,78,2002,2962,60368,0.04906573
92,79,2002,3108,57406,0.054140682
93,80,2002,3359,54299,0.061861176
94,50,2003,365,95412,0.003825515
95,51,2003,397,95047,0.004176881
96,52,2003,438,94650,0.004627575
97,53,2003,476,94212,0.005052435
98,54,2003,508,93737,0.005419418
99,55,2003,563,93229,0.006038893
100,56,2003,640,92666,0.006906525
101,57,2003,595,92026,0.006465564
102,58,2003,720,91430,0.007874877
