,age,year,D,L,rate
1,50,1947,882,60738,0.0145213869406302
2,51,1947,978,59856,0.0163392141138733
3,52,1947,1027,58879,0.0174425516737716
4,53,1947,1101,57852,0.0190313213026343
5,54,1947,1133,56751,0.0199644059135522
6,55,1947,1171,55618,0.0210543349275414
7,56,1947,1234,54447,0.022664242290668
8,57,1947,1358,53213,0.0255200796797775
9,58,1947,1483,51855,0.0285989779191978
10,59,1947,1511,50372,0.0299968236321766
11,60,1947,1710,48861,0.0349972370602321
12,61,1947,1648,47151,0.034951538673623
13,62,1947,1824,45503,0.0400852691031361
14,63,1947,1900,43680,0.0434981684981685
15,64,1947,1961,41779,0.0469374566169607
16,65,1947,2066,39818,0.0518860816716058
17,66,1947,2094,37752,0.0554672600127146
18,67,1947,2135,35658,0.0598743619945033
19,68,1947,2199,33523,0.0655967544670823
20,69,1947,2158,31324,0.0688928617034861
21,70,1947,2240,29166,0.0768017554686964
22,71,1947,2178,26926,0.0808883606922677
23,72,1947,2198,24748,0.08881525779861
24,73,1947,2137,22551,0.0947629816859563
25,74,1947,2045,20414,0.100176349564025
26,75,1947,2089,18369,0.113724209265611
27,76,1947,1878,16280,0.115356265356265
28,77,1947,1790,14402,0.124288293292598
29,78,1947,1765,12611,0.139957180239473
30,79,1947,1663,10846,0.153328416005901
31,80,1947,1490,9183,0.162256343242949
32,81,1947,1382,7693,0.179643832055115
33,82,1947,1213,6312,0.192173637515843
34,83,1947,1067,5099,0.209256717003334
35,84,1947,830,4032,0.205853174603175
36,85,1947,754,3202,0.235477826358526
37,86,1947,624,2448,0.254901960784314
38,87,1947,494,1824,0.270833333333333
39,88,1947,368,1330,0.276691729323308
40,89,1947,281,962,0.292099792099792
41,90,1947,205,681,0.301027900146843
42,91,1947,166,476,0.348739495798319
43,92,1947,110,310,0.354838709677419
44,93,1947,74,200,0.37
45,94,1947,49,126,0.388888888888889
46,95,1947,31,77,0.402597402597403
47,96,1947,19,46,0.41304347826087
48,97,1947,12,27,0.444444444444444
49,98,1947,7,15,0.466666666666667
50,99,1947,4,8,0.5
51,100,1947,2,5,0.4
52,50,1948,909,67455,0.0134756504336224
53,51,1948,898,66546,0.0134944249090854
54,52,1948,1005,65648,0.0153089203022179
55,53,1948,1056,64643,0.0163358755008276
56,54,1948,1119,63587,0.0175979366851715
57,55,1948,1164,62467,0.0186338386668161
58,56,1948,1202,61303,0.019607523285973
59,57,1948,1294,60101,0.0215304237866258
60,58,1948,1428,58808,0.0242824105563869
61,59,1948,1504,57380,0.0262112234227954
62,60,1948,1584,55876,0.0283484859331377
63,61,1948,1700,54291,0.031312740601573
64,62,1948,1701,52592,0.0323433221782781
65,63,1948,1868,50891,0.0367059008469081
66,64,1948,1957,49023,0.0399200375334027
67,65,1948,1995,47066,0.0423872859388943
68,66,1948,2042,45071,0.0453062945131016
69,67,1948,2182,43030,0.0507088078085057
70,68,1948,2208,40848,0.0540540540540541
71,69,1948,2297,38640,0.0594461697722567
72,70,1948,2220,36343,0.0610846655476983
73,71,1948,2308,34123,0.0676376637458606
74,72,1948,2356,31814,0.0740554472873578
75,73,1948,2293,29459,0.0778369937879765
76,74,1948,2316,27166,0.0852536258558492
77,75,1948,2192,24850,0.0882092555331992
78,76,1948,2198,22658,0.097007679406832
79,77,1948,2132,20460,0.104203323558162
80,78,1948,2052,18328,0.111959842863378
81,79,1948,1928,16275,0.118463901689708
82,80,1948,1960,14347,0.13661392625636
83,81,1948,1801,12387,0.145394365060144
84,82,1948,1620,10586,0.153032306820329
85,83,1948,1517,8966,0.169194735668079
86,84,1948,1328,7450,0.178255033557047
87,85,1948,1136,6121,0.185590589772913
88,86,1948,1070,4986,0.214600882470919
89,87,1948,846,3916,0.216036772216547
90,88,1948,686,3071,0.223380006512537
91,89,1948,627,2384,0.263003355704698
92,90,1948,462,1757,0.262948207171315
93,91,1948,366,1295,0.282625482625483
94,92,1948,266,929,0.286329386437029
95,93,1948,189,663,0.285067873303167
96,94,1948,151,474,0.318565400843882
97,95,1948,108,323,0.334365325077399
98,96,1948,75,216,0.347222222222222
99,97,1948,51,141,0.361702127659574
100,98,1948,34,90,0.377777777777778
101,99,1948,22,56,0.392857142857143
102,100,1948,14,34,0.411764705882353
103,50,1949,829,69340,0.011955581194116
104,51,1949,922,68510,0.0134578893592176
105,52,1949,919,67588,0.0135970882405161
106,53,1949,1023,66670,0.0153442327883606
107,54,1949,1082,65646,0.0164823446973159
108,55,1949,1161,64564,0.0179821572393284
109,56,1949,1200,63403,0.018926549216914
110,57,1949,1280,62204,0.0205774548260562
111,58,1949,1421,60924,0.0233241415534108
112,59,1949,1482,59503,0.0249063072450129
113,60,1949,1545,58021,0.0266282897571569
114,61,1949,1668,56476,0.0295346695941639
115,62,1949,1834,54808,0.0334622682820026
116,63,1949,1840,52974,0.0347340204628686
117,64,1949,1981,51134,0.0387413462666719
118,65,1949,2042,49153,0.0415437511443859
119,66,1949,2158,47111,0.0458067118082826
120,67,1949,2262,44953,0.0503192222988455
121,68,1949,2351,42691,0.0550701553020543
122,69,1949,2302,40340,0.0570649479424888
123,70,1949,2363,38038,0.0621220884378779
124,71,1949,2386,35675,0.0668815697266994
125,72,1949,2429,33289,0.072967046171408
126,73,1949,2428,30860,0.0786779001944264
127,74,1949,2437,28432,0.0857132808103545
128,75,1949,2382,25995,0.0916330063473745
129,76,1949,2255,23613,0.0954982424935417
130,77,1949,2311,21358,0.108203015263601
131,78,1949,2069,19048,0.108620327593448
132,79,1949,2106,16979,0.124035573355321
133,80,1949,2017,14873,0.135614872587911
134,81,1949,1949,12856,0.151602364654636
135,82,1949,1677,10907,0.153754469606675
136,83,1949,1602,9230,0.173564463705309
137,84,1949,1373,7628,0.17999475616151
138,85,1949,1279,6255,0.204476418864908
139,86,1949,1046,4976,0.210209003215434
140,87,1949,881,3931,0.224116001017553
141,88,1949,772,3049,0.253197769760577
142,89,1949,601,2277,0.263943785682916
143,90,1949,484,1676,0.288782816229117
144,91,1949,358,1192,0.300335570469799
145,92,1949,243,834,0.29136690647482
146,93,1949,193,591,0.326565143824027
147,94,1949,137,398,0.344221105527638
148,95,1949,94,262,0.358778625954198
149,96,1949,63,168,0.375
150,97,1949,41,104,0.394230769230769
151,98,1949,26,63,0.412698412698413
152,99,1949,16,37,0.432432432432432
153,100,1949,9,22,0.409090909090909
154,50,1950,860,72612,0.0118437723792211
155,51,1950,876,71752,0.0122087189207269
156,52,1950,985,70876,0.0138975111462272
157,53,1950,999,69891,0.0142936858823024
158,54,1950,1119,68892,0.0162428148406201
159,55,1950,1194,67773,0.0176176353415077
160,56,1950,1272,66579,0.0191051232370567
161,57,1950,1336,65307,0.0204572251060376
162,58,1950,1507,63970,0.0235579177739565
163,59,1950,1528,62464,0.0244620901639344
164,60,1950,1612,60935,0.0264544186428161
165,61,1950,1682,59324,0.0283527745937563
166,62,1950,1806,57642,0.0313313209118351
167,63,1950,1973,55836,0.0353356257611577
168,64,1950,2003,53863,0.0371869372296382
169,65,1950,2237,51860,0.0431353644427304
170,66,1950,2315,49623,0.0466517542268706
171,67,1950,2354,47307,0.0497600777897563
172,68,1950,2484,44953,0.0552577136119948
173,69,1950,2598,42469,0.0611740328239422
174,70,1950,2565,39872,0.0643308587479936
175,71,1950,2681,37307,0.0718631892138205
176,72,1950,2669,34626,0.0770808063305031
177,73,1950,2647,31957,0.0828300528835623
178,74,1950,2646,29310,0.0902763561924258
179,75,1950,2575,26664,0.0965721572157216
180,76,1950,2482,24089,0.1030345800988
181,77,1950,2443,21607,0.113065210348498
182,78,1950,2374,19164,0.123878104779795
183,79,1950,2190,16790,0.130434782608696
184,80,1950,2124,14600,0.145479452054795
185,81,1950,1958,12476,0.156941327348509
186,82,1950,1824,10518,0.173416999429549
187,83,1950,1618,8694,0.186105360018403
188,84,1950,1352,7076,0.191068400226116
189,85,1950,1209,5724,0.211215932914046
190,86,1950,1088,4516,0.240921169176262
191,87,1950,800,3428,0.233372228704784
192,88,1950,670,2628,0.254946727549467
193,89,1950,577,1958,0.294688457609806
194,90,1950,418,1381,0.302679217958001
195,91,1950,309,963,0.320872274143302
196,92,1950,236,654,0.36085626911315
197,93,1950,137,418,0.327751196172249
198,94,1950,117,282,0.414893617021277
199,95,1950,64,164,0.390243902439024
200,96,1950,41,101,0.405940594059406
201,97,1950,25,60,0.416666666666667
202,98,1950,15,35,0.428571428571429
203,99,1950,9,19,0.473684210526316
204,100,1950,5,11,0.454545454545455
205,50,1951,822,75568,0.0108776201566801
206,51,1951,871,74746,0.0116527974741123
207,52,1951,910,73875,0.0123181049069374
208,53,1951,1013,72965,0.0138833687384362
209,54,1951,1064,71952,0.0147876362019124
210,55,1951,1185,70888,0.0167165105518564
211,56,1951,1235,69703,0.0177180322224295
212,57,1951,1332,68468,0.0194543436349828
213,58,1951,1451,67136,0.0216128455672069
214,59,1951,1477,65685,0.0224861079394078
215,60,1951,1598,64208,0.0248878644405682
216,61,1951,1743,62609,0.0278394480026833
217,62,1951,1843,60867,0.0302791331920417
218,63,1951,1953,59023,0.0330887958931264
219,64,1951,2153,57070,0.0377256001401787
220,65,1951,2180,54917,0.039696268914908
221,66,1951,2347,52737,0.0445038587708819
222,67,1951,2416,50390,0.0479460210359198
223,68,1951,2540,47974,0.0529453453954225
224,69,1951,2692,45434,0.0592507813531716
225,70,1951,2705,42742,0.0632866969257405
226,71,1951,2725,40037,0.0680620426105852
227,72,1951,2792,37313,0.0748264679870286
228,73,1951,2734,34521,0.0791981692303236
229,74,1951,2735,31787,0.0860414634913644
230,75,1951,2718,29052,0.0935563816604709
231,76,1951,2686,26334,0.101997417786891
232,77,1951,2538,23648,0.107324086603518
233,78,1951,2450,21110,0.116058739933681
234,79,1951,2364,18660,0.126688102893891
235,80,1951,2211,16296,0.135677466863034
236,81,1951,2107,14085,0.14959176428825
237,82,1951,1942,11978,0.162130572716647
238,83,1951,1768,10035,0.176183358246139
239,84,1951,1552,8267,0.187734365549776
240,85,1951,1363,6715,0.202978406552494
241,86,1951,1173,5352,0.219170403587444
242,87,1951,968,4179,0.231634362287629
243,88,1951,776,3211,0.241669261912177
244,89,1951,638,2435,0.262012320328542
245,90,1951,526,1797,0.292710072342794
246,91,1951,390,1270,0.307086614173228
247,92,1951,272,880,0.309090909090909
248,93,1951,201,608,0.330592105263158
249,94,1951,138,408,0.338235294117647
250,95,1951,99,269,0.368029739776952
251,96,1951,65,171,0.380116959064327
